X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-10381244.887,5613253.5346,0030XX 13TH AVE S,MP2021210965        ,3     ,2021/09/15 00:00:00+00,1438,2021/08/24 00:00:00+00,2021/09/15 14:38:00+00,2300,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/09/18 00:00:00+00,11962,-93.2563,44.94745,-10381244.887,5613253.5346,Powderhorn Park,2021/09/18 00:00:00+00,2022/03/17 09:10:32+00,7423
-10381875.5674,5612579.6269,0008XX 33RD ST E,MP2021210974        ,3     ,2021/09/15 00:00:00+00,1005,2021/09/14 00:00:00+00,2021/09/15 10:05:00+00,2130,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/16 00:00:00+00,17782,-93.26197,44.94317,-10381875.5674,5612579.6269,Powderhorn Park,2021/09/16 00:00:00+00,2022/03/17 09:10:32+00,7424
-10376254.5003,5611588.3347,0036XX 43RD AVE S,MP2021210979        ,3     ,2021/09/15 00:00:00+00,1211,2021/09/14 00:00:00+00,2021/09/15 12:11:00+00,2330,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/18 00:00:00+00,12264,-93.21148,44.93686,-10376254.5003,5611588.3347,Howe,2021/09/18 00:00:00+00,2022/03/17 09:10:32+00,7425
-10376890.4426,5613394.5912,0038XX LAKE ST E,MP2021210994        ,3     ,2021/09/15 00:00:00+00,1000,2021/08/04 00:00:00+00,2021/09/15 10:00:00+00,1000,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/16 00:00:00+00,19376,-93.21719,44.94835,-10376890.4426,5613394.5912,Cooper,2021/09/16 00:00:00+00,2022/03/17 09:10:32+00,7427
-10385483.5226,5625439.6083,0038XX EMERSON AVE N,MP2021211009        ,4     ,2021/09/15 00:00:00+00,1000,2021/09/14 00:00:00+00,2021/09/15 10:00:00+00,1700,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/09/18 00:00:00+00,10006,-93.29438,45.02488,-10385483.5226,5625439.6083,Webber - Camden,2021/09/18 00:00:00+00,2022/03/17 09:10:32+00,7429
-10377523.897,5606565.5306,0054XX 34TH AVE S,MP2021211022        ,3     ,2021/09/15 00:00:00+00,1239,2021/09/06 00:00:00+00,2021/09/15 12:39:00+00,1800,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/18 00:00:00+00,18526,-93.22288,44.90492,-10377523.897,5606565.5306,Morris Park,2021/09/18 00:00:00+00,2022/03/17 09:10:32+00,7430
-10382088.6079,5612702.5711,0032XX COLUMBUS AVE,MP2021211062        ,3     ,2021/09/15 00:00:00+00,1317,2021/09/12 00:00:00+00,2021/09/15 13:17:00+00,1,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/18 00:00:00+00,11909,-93.26388,44.94395,-10382088.6079,5612702.5711,Central,2021/09/18 00:00:00+00,2022/03/17 09:10:32+00,7433
-10385300.3148,5628293.6315,0048XX COLFAX AVE N,MP2021211068        ,4     ,2021/09/15 00:00:00+00,1207,2021/09/12 00:00:00+00,2021/09/15 12:07:00+00,1200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/09/16 00:00:00+00,18988,-93.29274,45.043,-10385300.3148,5628293.6315,Lind - Bohanon,2021/09/16 00:00:00+00,2022/03/17 09:10:32+00,7434
-10377702.3364,5611286.6615,0037XX MINNEHAHA AVE,MP2021211086        ,3     ,2021/09/15 00:00:00+00,1241,2021/09/15 00:00:00+00,2021/09/15 12:41:00+00,1230,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/09/16 00:00:00+00,21190,-93.22448,44.93495,-10377702.3364,5611286.6615,Howe,2021/09/16 00:00:00+00,2022/03/17 09:10:32+00,7437
-10381525.5819,5613890.9714,0028XX 11TH AVE S,MP2021211095        ,3     ,2021/09/15 00:00:00+00,1248,2021/09/15 00:00:00+00,2021/09/15 12:48:00+00,1248,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/16 00:00:00+00,26029,-93.25883,44.95151,-10381525.581852,5613890.97136842,Midtown Phillips,2021/09/16 00:00:00+00,2022/03/17 09:10:32+00,7439
-10385279.5952,5613395.7281,0010XX LAKE ST W,MP2021211147        ,5     ,2021/09/15 00:00:00+00,1340,2021/09/15 00:00:00+00,2021/09/15 13:40:00+00,1340,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/19 00:00:00+00,17304,-93.29255,44.94836,-10385279.5952,5613395.7281,Lowry Hill East,2021/09/20 00:00:00+00,2022/03/17 09:10:32+00,7443
-10382929.0682,5610449.8746,0040XX CLINTON AVE,MP2021211157        ,3     ,2021/09/15 00:00:00+00,1408,2021/09/12 00:00:00+00,2021/09/15 14:08:00+00,100,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/18 00:00:00+00,,-93.27143,44.92962,-10382929.0682,5610449.8746,Bryant,2021/09/18 00:00:00+00,2022/03/26 07:00:59+00,7445
-10384495.8481,5614383.2063,0026XX HARRIET AVE,MP2021211223        ,5     ,2021/09/15 00:00:00+00,1630,2021/09/13 00:00:00+00,2021/09/15 16:30:00+00,1500,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/16 00:00:00+00,,-93.28551,44.95463,-10384495.8481,5614383.2063,Whittier,2021/09/16 00:00:00+00,2022/03/26 07:00:59+00,7450
-10383850.8561,5612415.8822,0033XX BLAISDELL AVE,MP2021211309        ,5     ,2021/09/15 00:00:00+00,1713,2021/09/15 00:00:00+00,2021/09/15 17:13:00+00,945,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/16 00:00:00+00,14080,-93.27971,44.94213,-10383850.8561,5612415.8822,Lyndale,2022/05/02 00:00:00+00,2022/05/03 07:50:17+00,7453
-10387594.8089,5623466.1625,0031XX THOMAS AVE N,MP2021211451        ,4     ,2021/09/16 00:00:00+00,1455,2021/09/14 00:00:00+00,2021/09/16 14:55:00+00,900,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/09/18 00:00:00+00,20438,-93.31335,45.01235,-10387594.8089,5623466.1625,Jordan,2021/09/18 00:00:00+00,2022/03/17 09:10:32+00,7459
-10381104.727,5613218.686,0030XX 14TH AVE S,MP2021211547        ,3     ,2021/09/15 00:00:00+00,2155,2021/09/15 00:00:00+00,2021/09/15 21:55:00+00,2155,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/09/16 00:00:00+00,11963,-93.25505,44.94723,-10381104.727,5613218.686,Powderhorn Park,2021/09/23 00:00:00+00,2022/03/17 09:10:32+00,7462
-10381242.8802,5613843.0002,0028XX 13TH AVE S,MP2021211568        ,3     ,2021/09/16 00:00:00+00,31,2021/09/15 00:00:00+00,2021/09/16 00:31:00+00,1930,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/16 00:00:00+00,25738,-93.25629,44.9512,-10381242.8802,5613843.0002,Midtown Phillips,2021/09/16 00:00:00+00,2022/03/17 09:10:32+00,7465
-10383101.7651,5619405.0135,0004XX 2ND ST N,MP2021211722        ,1     ,2021/09/16 00:00:00+00,333,2021/09/14 00:00:00+00,2021/09/16 03:33:00+00,0,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/09/16 00:00:00+00,14828,-93.27299,44.98655,-10383101.7651,5619405.0135,North Loop,2021/09/16 00:00:00+00,2022/03/17 09:10:32+00,7470
-10382933.8653,5615948.0192,0018XX CLINTON AVE,MP2021211807        ,5     ,2021/09/16 00:00:00+00,746,2021/09/15 00:00:00+00,2021/09/16 07:46:00+00,1330,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/17 00:00:00+00,,-93.27148,44.96458,-10382933.8653,5615948.0192,Steven's Square - Loring Heights,2021/09/17 00:00:00+00,2022/03/26 07:00:59+00,7473
-10386185.257,5620306.6212,0013XX JAMES AVE N,MP2021211872        ,4     ,2021/09/16 00:00:00+00,842,2021/09/15 00:00:00+00,2021/09/16 08:42:00+00,1700,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/17 00:00:00+00,17215,-93.30068,44.99228,-10386185.257,5620306.6212,Near - North,2021/09/17 00:00:00+00,2022/03/17 09:10:32+00,7475
-10378775.3542,5618956.8619,0013XX 7TH ST SE,MP2021211882        ,2     ,2021/09/16 00:00:00+00,926,2021/09/15 00:00:00+00,2021/09/16 09:26:00+00,2100,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/16 00:00:00+00,,-93.23412,44.9837,-10378775.3542,5618956.8619,Marcy Holmes,2021/09/16 00:00:00+00,2022/03/26 07:00:59+00,7476
-10385220.7037,5611860.3868,0035XX COLFAX AVE S,MP2021211896        ,5     ,2021/09/16 00:00:00+00,918,2021/09/16 00:00:00+00,2021/09/16 09:18:00+00,918,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/16 00:00:00+00,13097,-93.29202,44.93859,-10385220.7037,5611860.3868,South Uptown,2021/09/17 00:00:00+00,2022/04/16 07:00:15+00,7478
-10385705.2563,5613396.5202,0013XX LAKE ST W,MP2021211942        ,5     ,2021/09/16 00:00:00+00,1038,2021/09/16 00:00:00+00,2021/09/16 10:38:00+00,1038,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/17 00:00:00+00,17662,-93.29637,44.94836,-10385705.2563,5613396.5202,Lowry Hill East,2021/09/17 00:00:00+00,2022/03/17 09:10:32+00,7485
-10383647.466,5614100.1039,0027XX NICOLLET AVE,MP2021211951        ,5     ,2021/09/16 00:00:00+00,1258,2021/09/16 00:00:00+00,2021/09/16 12:58:00+00,200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/09/18 00:00:00+00,16211,-93.27789,44.95283,-10383647.466,5614100.1039,Whittier,2021/09/20 00:00:00+00,2022/03/17 09:10:32+00,7486
-10384780.3529,5625432.1991,0038XX LYNDALE AVE N,MP2021211958        ,4     ,2021/09/16 00:00:00+00,1107,2021/09/08 00:00:00+00,2021/09/16 11:07:00+00,930,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/09/17 00:00:00+00,18131,-93.28806,45.02483,-10384780.3529,5625432.1991,Webber - Camden,2021/09/17 00:00:00+00,2022/03/17 09:10:32+00,7488
-10384458.8248,5617141.3098,0004XX MAPLE ST,MP2021211960        ,1     ,2021/09/16 00:00:00+00,1136,2021/09/03 00:00:00+00,2021/09/16 11:36:00+00,1200,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/17 00:00:00+00,,-93.28518,44.97217,-10384458.8248,5617141.3098,Loring Park,2021/09/17 00:00:00+00,2022/03/26 07:00:59+00,7489
-10384030.2411,5613865.3743,0028XX PILLSBURY AVE,MP2021211976        ,5     ,2021/09/16 00:00:00+00,1133,2021/09/16 00:00:00+00,2021/09/16 11:33:00+00,1133,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2021/09/17 00:00:00+00,14849,-93.28133,44.95134,-10384030.2411,5613865.3743,Whittier,2021/09/17 00:00:00+00,2022/03/17 09:10:32+00,7491
-10382307.6516,5613394.2807,0006XX LAKE ST E,MP2021211985        ,3     ,2021/09/16 00:00:00+00,1147,2021/09/16 00:00:00+00,2021/09/16 11:47:00+00,1145,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/17 00:00:00+00,21578,-93.26585,44.94835,-10382307.6516,5613394.2807,Phillips West,2021/09/17 00:00:00+00,2022/03/17 09:10:32+00,7493
-10383638.833,5615868.0959,0019XX NICOLLET AVE,MP2021212006        ,5     ,2021/09/16 00:00:00+00,1218,2021/09/16 00:00:00+00,2021/09/16 12:18:00+00,1218,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/17 00:00:00+00,19278,-93.27781,44.96407,-10383638.833,5615868.0959,Steven's Square - Loring Heights,2021/09/17 00:00:00+00,2022/03/17 09:10:32+00,7494
-10379708.2693,5615758.4594,0009XX 21ST AVE S,MP2021212128        ,3     ,2021/09/16 00:00:00+00,1754,2021/08/23 00:00:00+00,2021/09/16 17:54:00+00,1300,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/17 00:00:00+00,21868,-93.2425,44.96338,-10379708.2693,5615758.4594,Seward,2021/09/17 00:00:00+00,2022/03/17 09:10:32+00,7504
-10383751.7703,5617954.2505,0004XX 10TH ST N,MP2021212167        ,1     ,2021/09/16 00:00:00+00,1600,2021/09/16 00:00:00+00,2021/09/16 16:00:00+00,1545,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/17 00:00:00+00,,-93.27882,44.97733,-10383751.7703,5617954.2505,Downtown West,2021/09/17 00:00:00+00,2022/03/26 07:00:59+00,7507
-10384502.228,5612972.4259,0031XX HARRIET AVE,MP2021212180        ,5     ,2021/09/16 00:00:00+00,1725,2021/09/16 00:00:00+00,2021/09/16 17:25:00+00,1300,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/17 00:00:00+00,21894,-93.28557,44.94567,-10384502.228,5612972.4259,Lyndale,2021/09/17 00:00:00+00,2022/03/17 09:10:32+00,7510
-10375977.4253,5614871.7612,0003XX SAINT ANTHONY AVE,MP2021212204        ,2     ,2021/09/16 00:00:00+00,1640,2021/08/22 00:00:00+00,2021/09/16 16:40:00+00,0,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2021/09/17 00:00:00+00,20334,-93.20899,44.95774,-10375977.4253,5614871.7612,Prospect Park - East River Road,2021/09/17 00:00:00+00,2022/03/17 09:10:32+00,7514
