X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-10385818.5853,5614314.5647,0026XX HENNEPIN AVE,MP20191000          ,5     ,2019/01/01 00:00:00+00,2323,2019/01/01 00:00:00+00,2019/01/01 23:23:00+00,2230,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2019/01/02 00:00:00+00,17300,-93.29739,44.9542,-10385818.5853,5614314.5647,East Isles,2019/01/02 00:00:00+00,2022/03/17 09:10:30+00,1
-10387167.8958,5623658.0136,0032XX QUEEN AVE N,MP2019100012        ,4     ,2019/04/09 00:00:00+00,1345,2019/04/03 00:00:00+00,2019/04/09 13:45:00+00,1745,THEFT   ,OTHER THEFT                   ,07 ,2019/04/09 00:00:00+00,19482,-93.30951,45.01356,-10387167.8958,5623658.0136,Cleveland,2019/04/09 00:00:00+00,2022/03/17 09:10:30+00,4
-10379112.6741,5614070.2223,0027XX MINNEHAHA AVE,MP201910006         ,3     ,2019/01/10 00:00:00+00,2222,2019/01/09 00:00:00+00,2019/01/10 22:22:00+00,2245,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2019/01/11 00:00:00+00,25752,-93.23715,44.95264,-10379112.6741,5614070.2223,Longfellow,2019/01/11 00:00:00+00,2022/03/17 09:10:30+00,7
-10384209.0996,5614946.5182,0024XX PLEASANT AVE,MP2019100139        ,5     ,2019/04/09 00:00:00+00,1547,2019/01/18 00:00:00+00,2019/04/09 15:47:00+00,1300,THEFT   ,OTHER THEFT                   ,07 ,2019/04/10 00:00:00+00,,-93.28293,44.95822,-10384209.0996,5614946.5182,Whittier,2019/04/10 00:00:00+00,2022/03/26 07:00:58+00,11
-10383995.6361,5621926.0493,0002XX 23RD AVE N,MP2019100157        ,4     ,2019/04/09 00:00:00+00,2046,2019/04/09 00:00:00+00,2019/04/09 20:46:00+00,1600,THEFT   ,OTHER THEFT                   ,07 ,2019/04/10 00:00:00+00,16744,-93.28101,45.00256,-10383995.6361,5621926.0493,Hawthorne,2021/02/25 00:00:00+00,2022/03/17 09:10:30+00,13
-10379250.6523,5625147.1457,0030XX LINCOLN ST NE,MP2019100227        ,2     ,2019/04/09 00:00:00+00,1859,2019/04/08 00:00:00+00,2019/04/09 18:59:00+00,600,THEFT   ,OTHER THEFT                   ,07 ,2019/04/10 00:00:00+00,13685,-93.23839,45.02302,-10379250.6523,5625147.1457,Audubon Park,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,19
-10380243.0652,5620306.6947,0003XX HARRISON ST NE,MP2019100236        ,2     ,2019/04/09 00:00:00+00,1754,2019/04/01 00:00:00+00,2019/04/09 17:54:00+00,1700,THEFT   ,OTHER THEFT                   ,07 ,2019/04/10 00:00:00+00,19985,-93.2473,44.99228,-10380243.0652,5620306.6947,Beltrami,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,20
-10385818.5853,5614314.5647,0026XX HENNEPIN AVE,MP2019100268        ,5     ,2019/04/09 00:00:00+00,1752,2019/04/07 00:00:00+00,2019/04/09 17:52:00+00,1703,THEFT   ,OTHER THEFT                   ,07 ,2019/04/10 00:00:00+00,17300,-93.29739,44.9542,-10385818.5853,5614314.5647,East Isles,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,22
-10387590.6826,5622612.6248,0026XX THOMAS AVE N,MP2019100287        ,4     ,2019/04/09 00:00:00+00,1937,2019/04/07 00:00:00+00,2019/04/09 19:37:00+00,1700,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2019/04/10 00:00:00+00,22055,-93.31331,45.00693,-10387590.6826,5622612.6248,Willard - Hay,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,24
-10383638.9901,5616702.3651,0013XX NICOLLET AVE,MP2019100357        ,1     ,2019/04/09 00:00:00+00,2139,2019/04/01 00:00:00+00,2019/04/09 21:39:00+00,1100,THEFT   ,OTHER THEFT                   ,07 ,2019/04/10 00:00:00+00,16712,-93.27781,44.96938,-10383638.9901,5616702.3651,Loring Park,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,31
-10383751.7703,5617954.2505,0004XX 10TH ST N,MP2019100493        ,1     ,2019/04/09 00:00:00+00,2204,2019/04/09 00:00:00+00,2019/04/09 22:04:00+00,2204,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2019/04/10 00:00:00+00,,-93.27882,44.97733,-10383751.7703,5617954.2505,Downtown West,2019/04/10 00:00:00+00,2022/03/26 07:00:58+00,41
-10385914.9597,5613804.0564,0028XX HENNEPIN AVE,MP2019100584        ,5     ,2019/04/09 00:00:00+00,2348,2019/04/09 00:00:00+00,2019/04/09 23:48:00+00,2100,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2019/04/10 00:00:00+00,20796,-93.29826,44.95095,-10385914.9597,5613804.0564,Lowry Hill East,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,46
-10383484.8051,5617871.0411,0008XX HENNEPIN AVE,MP2019100603        ,1     ,2019/04/09 00:00:00+00,2346,2019/04/09 00:00:00+00,2019/04/09 23:46:00+00,2245,THEFT   ,OTHER THEFT                   ,07 ,2019/04/10 00:00:00+00,21655,-93.27643,44.9768,-10383484.8051,5617871.0411,Downtown West,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,48
-10385257.9615,5615448.8535,0021XX HENNEPIN AVE,MP2019100624        ,5     ,2019/04/10 00:00:00+00,121,2019/04/09 00:00:00+00,2019/04/10 01:21:00+00,2200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2019/04/10 00:00:00+00,18381,-93.29235,44.96141,-10385257.9615,5615448.8535,Lowry Hill,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,49
-10383082.2862,5612720.6148,0032XX 3RD AVE S,MP2019100785        ,3     ,2019/04/10 00:00:00+00,937,2019/04/10 00:00:00+00,2019/04/10 09:37:00+00,100,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2019/04/10 00:00:00+00,11900,-93.27281,44.94406,-10383082.2862,5612720.6148,Central,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,53
-10378697.779,5612277.0677,0033XX HIAWATHA AVE,MP2019100824        ,3     ,2019/04/10 00:00:00+00,939,2019/04/10 00:00:00+00,2019/04/10 09:39:00+00,100,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2019/04/10 00:00:00+00,21434,-93.23342,44.94124,-10378697.779,5612277.0677,Howe,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,56
-10385562.9573,5614877.0316,0024XX HENNEPIN AVE,MP2019100858        ,5     ,2019/04/10 00:00:00+00,1337,2019/04/09 00:00:00+00,2019/04/10 13:37:00+00,1818,THEFT   ,OTHER THEFT                   ,07 ,2019/04/10 00:00:00+00,17602,-93.29509,44.95777,-10385562.9573,5614877.0316,Lowry Hill East,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,57
-10381184.4934,5616474.3224,0008XX 13TH AVE S,MP2019100913        ,1     ,2019/04/10 00:00:00+00,1123,2019/04/08 00:00:00+00,2019/04/10 11:23:00+00,1900,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2019/04/11 00:00:00+00,,-93.25576,44.96793,-10381184.4934,5616474.3224,Downtown East,2019/04/11 00:00:00+00,2022/03/26 07:00:58+00,61
-10384612.5619,5628437.3762,0005XX 49TH AVE N,MP2019100927        ,4     ,2019/04/10 00:00:00+00,1234,2019/04/09 00:00:00+00,2019/04/10 12:34:00+00,1600,THEFT   ,OTHER THEFT                   ,07 ,2019/04/10 00:00:00+00,10057,-93.28656,45.04391,-10384612.5619,5628437.3762,Lind - Bohanon,2019/04/10 00:00:00+00,2022/03/17 09:10:30+00,63
-10381663.6058,5612702.2361,0032XX 10TH AVE S,MP2019101122        ,3     ,2019/04/10 00:00:00+00,1850,2019/04/09 00:00:00+00,2019/04/10 18:50:00+00,1700,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2019/04/11 00:00:00+00,14823,-93.26007,44.94395,-10381663.6058,5612702.2361,Powderhorn Park,2019/04/11 00:00:00+00,2022/03/17 09:10:30+00,70
-10383827.3986,5618047.2141,0010XX CURRIE AVE,MP2019101125        ,1     ,2019/04/10 00:00:00+00,1804,2019/04/10 00:00:00+00,2019/04/10 18:04:00+00,1804,THEFT   ,OTHER THEFT                   ,07 ,2019/04/11 00:00:00+00,16666,-93.2795,44.97792,-10383827.3986,5618047.2141,Downtown West,2019/04/11 00:00:00+00,2022/03/17 09:10:30+00,71
-10378915.9284,5618527.9491,0004XX 14TH AVE SE,MP2019101187        ,2     ,2019/04/10 00:00:00+00,1927,2019/04/10 00:00:00+00,2019/04/10 19:27:00+00,1725,THEFT   ,OTHER THEFT                   ,07 ,2019/04/11 00:00:00+00,16640,-93.23538,44.98098,-10378915.9284,5618527.9491,Marcy Holmes,2019/04/11 00:00:00+00,2022/03/17 09:10:30+00,75
-10383121.3599,5618368.3395,0009XX 5TH ST N,MP201910119         ,1     ,2019/01/11 00:00:00+00,227,2019/01/08 00:00:00+00,2019/01/11 02:27:00+00,330,THEFT   ,OTHER THEFT                   ,07 ,2019/01/11 00:00:00+00,16701,-93.27316,44.97996,-10383121.3599,5618368.3395,Downtown West,2019/01/11 00:00:00+00,2022/03/17 09:10:30+00,76
-10383563.4922,5616770.7737,0001XX GRANT ST E,MP2019101243        ,1     ,2019/04/10 00:00:00+00,2014,2019/04/07 00:00:00+00,2019/04/10 20:14:00+00,1800,THEFT   ,OTHER THEFT                   ,07 ,2019/04/11 00:00:00+00,16711,-93.27713,44.96981,-10383563.4922,5616770.7737,Loring Park,2019/04/11 00:00:00+00,2022/03/17 09:10:30+00,79
-10384781.3958,5613810.5719,0028XX LYNDALE AVE S,MP2019101391        ,5     ,2019/04/11 00:00:00+00,46,2019/04/10 00:00:00+00,2019/04/11 00:46:00+00,1920,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2019/04/11 00:00:00+00,16763,-93.28807,44.95099,-10384781.3958,5613810.5719,Lowry Hill East,2019/04/11 00:00:00+00,2022/03/17 09:10:30+00,83
-10384783.0206,5613528.438,0029XX LYNDALE AVE S,MP2019101498        ,5     ,2019/04/11 00:00:00+00,405,2019/04/10 00:00:00+00,2019/04/11 04:05:00+00,2250,THEFT   ,OTHER THEFT                   ,07 ,2019/04/11 00:00:00+00,16764,-93.28809,44.9492,-10384783.0206,5613528.438,Lowry Hill East,2019/04/11 00:00:00+00,2022/03/17 09:10:30+00,88
