PublicAddress,ControlNbr,CCN,Precinct,ReportedDate,BeginDate,Time,Offense,Description,UCRCode,EnteredDate,GBSID,Lat,Long,X,Y,Neighborhood,LastChanged,LastUpdateDate,OBJECTID,x2,y2
0025XX 15 AV S,3738018,MP 2018 035248,03,2/3/2018 10:12:00 AM,2/3/2018 9:25:00 AM,09:25:00,AUTOTH,Motor Vehicle Theft,08,2/3/2018 10:12:22 AM,16867,44.95644396,-93.2537008,-10380954.4875,5614667.0838,MIDTOWN PHILLIPS,2/3/2018 2:20:16 PM,2/3/2018 8:00:33 PM,1242,-10380954.4875,5614667.0838
0024XX Ogema PL ,3738019,MP 2018 035265,03,2/3/2018 10:20:00 AM,2/3/2018 9:56:00 AM,09:56:00,AUTOTH,Motor Vehicle Theft,08,2/3/2018 10:45:20 AM,21424,44.9572173,-93.24485196,-10379969.4397,5614788.738,EAST PHILLIPS,2/3/2018 2:46:08 PM,2/3/2018 8:00:33 PM,1243,-10379969.4397,5614788.738
0048XX Girard AV N,3738039,MP 2018 035327,04,2/3/2018 12:00:00 PM,2/2/2018 1:00:00 AM,01:00:00,AUTOTH,Motor Vehicle Theft,08,2/3/2018 12:22:55 PM,10871,45.04300637,-93.29790397,-10385875.1621,5628294.5019,LIND - BOHANON,2/3/2018 5:22:14 PM,2/3/2018 8:00:33 PM,1249,-10385875.1621,5628294.5019
0018XX Elliot AV S,3738041,MP 2018 035344,03,2/3/2018 12:25:00 PM,2/3/2018 11:15:00 AM,11:15:00,AUTOTH,Motor Vehicle Theft,08,2/3/2018 12:25:05 PM,20168,44.96454204,-93.26105566,-10381773.2264,5615941.0829,VENTURA VILLAGE,2/3/2018 2:21:06 PM,2/3/2018 8:00:33 PM,1251,-10381773.2264,5615941.0829
0024XX Chicago AV S,3732489,MP 2018 006528,03,1/7/2018 1:20:00 AM,1/7/2018 12:16:00 AM,00:16:00,AUTOTH,Motor Vehicle Theft,08,1/7/2018 1:20:31 AM,18932,44.95822156,-93.26257942,-10381942.8507,5614946.7225,PHILLIPS WEST,1/20/2018 3:21:58 AM,1/20/2018 8:00:31 PM,1259,-10381942.8507,5614946.7225
0019XX Lyndale AV S,3734479,MP 2018 017177,05,1/17/2018 3:09:00 PM,1/17/2018 12:24:00 PM,12:24:00,TFMV,Theft From Motr Vehc,07,1/17/2018 3:08:02 PM,16045,44.96316564,-93.28807331,-10384780.8183,5615724.5328,LOWRY HILL EAST,1/20/2018 2:29:05 AM,1/20/2018 8:00:31 PM,1260,-10384780.8183,5615724.5328
0007XX 7 ST N,3734920,MP 2018 019321,01,1/19/2018 9:40:00 AM,1/18/2018 6:00:00 PM,18:00:00,AUTOTH,Motor Vehicle Theft,08,1/19/2018 9:39:37 AM,15010,44.98607816,-93.28620031,-10384572.3168,5619330.0435,NORTH LOOP,1/20/2018 12:26:28 AM,1/20/2018 8:00:31 PM,1269,-10384572.3168,5619330.0435
00001X 4 ST N,3735003,MP 2018 019598,01,1/19/2018 2:38:00 PM,11/27/2017 12:00:00 PM,12:00:00,AUTOTH,Motor Vehicle Theft,08,1/19/2018 2:37:48 PM,17119,44.98083264,-93.27195951,-10382987.0377,5618504.4818,DOWNTOWN WEST,1/20/2018 12:14:37 AM,1/20/2018 8:00:31 PM,1274,-10382987.0377,5618504.4818
0054XX Nicollet AV S,3735012,MP 2018 019582,05,1/19/2018 2:08:00 PM,1/19/2018 1:00:00 PM,13:00:00,AUTOTH,Motor Vehicle Theft,08,1/19/2018 3:25:01 PM,12671,44.90456457,-93.27809288,-10383669.8017,5606509.623,TANGLETOWN,1/20/2018 12:36:42 AM,1/20/2018 8:00:31 PM,1276,-10383669.8017,5606509.623
0006XX Broadway ST NE,3735047,MP 2018 019837,02,1/19/2018 7:00:00 PM,1/19/2018 6:20:00 PM,18:20:00,AUTOTH,Motor Vehicle Theft,08,1/19/2018 6:59:25 PM,15862,44.99870816,-93.25689619,-10381310.1969,5621318.1153,ST. ANTHONY EAST,1/20/2018 5:24:37 PM,1/20/2018 8:00:31 PM,1281,-10381310.1969,5621318.1153
0035XX Upton AV N,3735056,MP 2018 019942,04,1/19/2018 8:00:00 PM,1/17/2018 7:30:00 AM,07:30:00,AUTOTH,Motor Vehicle Theft,08,1/19/2018 7:59:13 PM,10493,45.0195682,-93.31462313,-10387736.3301,5624602.6248,CLEVELAND,1/20/2018 12:00:40 AM,1/20/2018 8:00:31 PM,1283,-10387736.3301,5624602.6248
0015XX 38 ST E,3735072,MP 2018 019889,03,1/19/2018 9:34:00 PM,1/19/2018 7:15:00 PM,19:15:00,AUTOTH,Motor Vehicle Theft,08,1/19/2018 9:34:30 PM,12319,44.93412333,-93.25176492,-10380738.9866,5611156.5087,BANCROFT,1/19/2018 11:46:24 PM,1/20/2018 8:00:31 PM,1287,-10380738.9866,5611156.5087
0018XX Emerson AV N,3735105,MP 2018 020158,04,1/20/2018 12:20:00 AM,1/19/2018 4:00:00 PM,16:00:00,AUTOTH,Motor Vehicle Theft,08,1/20/2018 12:19:28 AM,17366,44.99828085,-93.29411491,-10385453.3653,5621250.8452,NEAR - NORTH,1/20/2018 4:44:43 AM,1/20/2018 8:00:31 PM,1293,-10385453.3653,5621250.8452
0027XX 1 AV S,3735129,MP 2018 020334,05,1/20/2018 2:00:00 AM,1/19/2018 6:00:00 PM,18:00:00,AUTOTH,Motor Vehicle Theft,08,1/20/2018 2:14:21 AM,16216,44.95283819,-93.27660134,-10383503.7645,5614099.8774,WHITTIER,1/20/2018 2:35:16 AM,1/20/2018 8:00:31 PM,1300,-10383503.7645,5614099.8774
0006XX Summer ST NE,3735183,MP 2018 020523,02,1/20/2018 9:31:00 AM,1/19/2018 6:00:00 PM,18:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 9:30:19 AM,21520,44.99689303,-93.25307263,-10380884.5606,5621032.3703,ST. ANTHONY EAST,1/20/2018 10:39:37 AM,1/20/2018 8:00:31 PM,1310,-10380884.5606,5621032.3703
0027XX NICOLLET AV ,3735184,MP 2018 999685,05,1/20/2018 9:30:52 AM,1/20/2018 12:00:00 AM,00:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 9:30:52 AM,16211,44.95283963,-93.27789224,-10383647.466,5614100.1039,WHITTIER,1/20/2018 9:30:55 AM,1/20/2018 8:00:31 PM,1311,-10383647.466,5614100.1039
0015XX 22 ST E,3735188,MP 2018 020534,03,1/20/2018 9:37:00 AM,1/20/2018 8:30:00 AM,08:30:00,AUTOTH,Motor Vehicle Theft,08,1/20/2018 9:35:56 AM,21471,44.96093029,-93.25292982,-10380868.6621,5615372.8562,VENTURA VILLAGE,1/20/2018 2:26:26 PM,1/20/2018 8:00:31 PM,1312,-10380868.6621,5615372.8562
7 AV NE / University AV NE,3735191,MP 2018 020468,02,1/20/2018 9:57:00 AM,1/20/2018 6:18:00 AM,06:18:00,AUTOTH,Motor Vehicle Theft,08,1/20/2018 9:56:07 AM,,44.99568,-93.26165,-10381839.94,5620840.787,ST. ANTHONY WEST,1/20/2018 2:06:26 PM,1/20/2018 8:00:31 PM,1313,-10381839.94,5620840.787
0008XX Thornton ST SE,3735195,MP 2018 999683,02,1/20/2018 10:27:04 AM,1/19/2018 9:30:00 PM,21:30:00,TFMV,Theft From Motr Vehc,07,1/20/2018 10:27:04 AM,16843,44.96604597,-93.21923135,-10377117.3663,5616177.7015,PROSPECT PARK - EAST RIVER ROAD,1/20/2018 10:27:07 AM,1/20/2018 8:00:31 PM,1314,-10377117.3663,5616177.7015
0050XX Emerson AV N,3735196,MP 2018 020537,04,1/20/2018 10:37:00 AM,12/17/2017 12:00:00 AM,00:00:00,AUTOTH,Motor Vehicle Theft,08,1/20/2018 10:34:58 AM,17326,45.04660302,-93.29534145,-10385589.9038,5628861.1635,LIND - BOHANON,1/20/2018 12:18:33 PM,1/20/2018 8:00:31 PM,1315,-10385589.9038,5628861.1635
0006XX Huron BL SE,3735197,MP 2018 999682,02,1/20/2018 10:39:01 AM,1/20/2018 1:00:00 AM,01:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 10:39:01 AM,17584,44.96975782,-93.22283192,-10377518.1791,5616761.7292,PROSPECT PARK - EAST RIVER ROAD,1/20/2018 10:39:02 AM,1/20/2018 8:00:31 PM,1316,-10377518.1791,5616761.7292
0030XX Blaisdell AV S,3735199,MP 2018 020593,05,1/20/2018 11:15:00 AM,1/19/2018 5:00:00 PM,17:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 11:12:50 AM,16851,44.94746485,-93.27969498,-10383848.146,5613254.6899,LYNDALE,1/20/2018 11:54:25 AM,1/20/2018 8:00:31 PM,1317,-10383848.146,5613254.6899
0025XX 7 ST NE,3735201,MP 2018 020576,02,1/20/2018 11:33:00 AM,1/17/2018 4:00:00 PM,16:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 11:32:09 AM,20126,45.014068,-93.25792583,-10381424.816,5623736.4776,HOLLAND,1/20/2018 2:08:06 PM,1/20/2018 8:00:31 PM,1318,-10381424.816,5623736.4776
0030XX 38 AV S,3735229,MP 2018 999678,03,1/20/2018 2:33:05 PM,1/19/2018 10:00:00 PM,22:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 2:33:05 PM,11840,44.94758761,-93.21783407,-10376961.8214,5613273.9984,LONGFELLOW,1/20/2018 2:33:10 PM,1/20/2018 8:00:31 PM,1324,-10376961.8214,5613273.9984
0006XX Jefferson ST NE,3735234,MP 2018 999677,02,1/20/2018 2:38:57 PM,1/19/2018 11:00:00 PM,23:00:00,TFMV,Theft From Motr Vehc,07,1/20/2018 2:38:57 PM,16322,44.99598622,-93.2549785,-10381096.7201,5620889.6212,ST. ANTHONY EAST,1/20/2018 2:39:00 PM,1/20/2018 8:00:31 PM,1327,-10381096.7201,5620889.6212
0007XX 4 ST N,3735248,MP 2018 999674,01,1/20/2018 3:47:32 PM,1/20/2018 3:15:00 PM,15:15:00,TFMV,Theft From Motr Vehc,07,1/20/2018 3:47:32 PM,16620,44.98720974,-93.28094392,-10383987.178,5619508.1465,NORTH LOOP,1/20/2018 3:47:38 PM,1/20/2018 8:00:31 PM,1333,-10383987.178,5619508.1465
0047XX Colfax AV N,3748843,MP 2018 093475,04,3/24/2018 4:25:00 AM,3/24/2018 4:13:00 AM,04:13:00,AUTOTH,Motor Vehicle Theft,08,3/24/2018 5:59:55 AM,10881,45.04117575,-93.29272821,-10385298.9986,5628006.097,LIND - BOHANON,3/25/2018 1:31:03 AM,3/25/2018 8:00:34 PM,1337,-10385298.9986,5628006.097
0013XX Nicollet Mall  ,3748920,MP 2018 093778,01,3/24/2018 3:00:00 PM,3/20/2018 2:30:00 PM,14:30:00,TFMV,Theft From Motr Vehc,07,3/24/2018 3:02:34 PM,16714,44.97050597,-93.27771387,-10383627.6107,5616879.4491,LORING PARK,3/25/2018 9:37:38 AM,3/25/2018 8:00:34 PM,1339,-10383627.6107,5616879.4491
00002X 18 AV NE,3748941,MP 2018 093858,02,3/24/2018 6:10:00 PM,3/23/2018 3:23:00 PM,15:23:00,TFMV,Theft From Motr Vehc,07,3/24/2018 6:04:50 PM,21183,45.00601178,-93.27088854,-10382867.8181,5622467.9679,SHERIDAN,3/24/2018 10:13:07 PM,3/25/2018 8:00:34 PM,1344,-10382867.8181,5622467.9679
0031XX Minnehaha AV S,3748987,MP 2018 094353,03,3/25/2018 12:06:00 AM,3/24/2018 8:30:00 PM,20:30:00,AUTOTH,Motor Vehicle Theft,08,3/25/2018 12:05:39 AM,25951,44.94702446,-93.23327765,-10378680.9934,5613185.4239,LONGFELLOW,3/25/2018 4:15:04 PM,3/25/2018 8:00:34 PM,1357,-10378680.9934,5613185.4239
1 AV N / 6 ST N,3749030,MP 2018 094219,01,3/25/2018 5:17:00 AM,3/24/2018 5:00:00 PM,17:00:00,TFMV,Theft From Motr Vehc,07,3/25/2018 5:15:56 AM,,44.9796,-93.27483,-10383306.16,5618310.103,DOWNTOWN WEST,3/26/2018 6:23:21 AM,3/26/2018 8:00:32 PM,1367,-10383306.16,5618310.103
0025XX University AV NE,3749072,MP 2018 998505,02,3/25/2018 9:20:08 AM,3/24/2018 6:30:00 PM,18:30:00,TFMV,Theft From Motr Vehc,07,3/25/2018 9:20:08 AM,14498,45.01407296,-93.26313618,-10382004.8298,5623737.2583,HOLLAND,3/25/2018 9:20:23 AM,3/25/2018 8:00:34 PM,1370,-10382004.8298,5623737.2583
0025XX University AV NE,3749073,MP 2018 998504,02,3/25/2018 9:41:48 AM,3/24/2018 6:30:00 PM,18:30:00,TFMV,Theft From Motr Vehc,07,3/25/2018 9:41:48 AM,14498,45.01407296,-93.26313618,-10382004.8298,5623737.2583,MARSHALL TERRACE,3/25/2018 9:41:52 AM,3/25/2018 8:00:34 PM,1371,-10382004.8298,5623737.2583
0027XX Lyndale AV N,3749098,MP 2018 094759,04,3/25/2018 2:20:00 PM,3/25/2018 8:00:00 AM,08:00:00,AUTOTH,Motor Vehicle Theft,08,3/25/2018 2:20:10 PM,10581,45.00861324,-93.28799802,-10384772.4362,5622877.5668,HAWTHORNE,3/25/2018 6:48:54 PM,3/25/2018 8:00:34 PM,1377,-10384772.4362,5622877.5668
0005XX 8 ST SE,3749108,MP 2018 998496,02,3/25/2018 3:19:38 PM,3/24/2018 11:15:00 PM,23:15:00,TFMV,Theft From Motr Vehc,07,3/25/2018 3:19:38 PM,14842,44.9891175,-93.24446354,-10379926.2007,5619808.4214,MARCY HOLMES,3/25/2018 3:19:39 PM,3/25/2018 8:00:34 PM,1381,-10379926.2007,5619808.4214
0004XX 7 ST SE,3749123,MP 2018 998495,02,3/25/2018 5:23:46 PM,3/24/2018 12:00:00 AM,00:00:00,TFMV,Theft From Motr Vehc,07,3/25/2018 5:23:46 PM,21618,44.98873854,-93.24674876,-10380180.5899,5619748.7742,MARCY HOLMES,3/25/2018 5:23:53 PM,3/25/2018 8:00:34 PM,1387,-10380180.5899,5619748.7742
0029XX Blaisdell AV S,3749156,MP 2018 095163,05,3/25/2018 10:10:00 PM,3/25/2018 7:00:00 AM,07:00:00,AUTOTH,Motor Vehicle Theft,08,3/25/2018 10:09:42 PM,17033,44.94954085,-93.27968211,-10383846.7136,5613581.2199,WHITTIER,3/26/2018 7:11:15 AM,3/26/2018 8:00:32 PM,1393,-10383846.7136,5613581.2199
0029XX Oakland AV S,3749178,MP 2018 095070,03,3/26/2018 12:47:00 PM,3/25/2018 3:30:00 PM,15:30:00,TFMV,Theft From Motr Vehc,07,3/26/2018 12:47:35 AM,18090,44.95014459,-93.26646784,-10382375.7085,5613676.1847,PHILLIPS WEST,3/26/2018 5:36:17 AM,3/26/2018 8:00:32 PM,1397,-10382375.7085,5613676.1847
0027XX 11 AV S,3749185,MP 2018 095270,03,3/26/2018 1:20:00 AM,3/23/2018 6:00:00 PM,18:00:00,AUTOTH,Motor Vehicle Theft,08,3/26/2018 1:16:33 AM,21912,44.95238287,-93.2588236,-10381524.7556,5614028.2561,MIDTOWN PHILLIPS,3/26/2018 5:35:39 AM,3/26/2018 8:00:32 PM,1399,-10381524.7556,5614028.2561
0034XX 38 ST E,3749222,MP 2018 998491,03,3/26/2018 8:29:17 AM,3/24/2018 12:00:00 PM,12:00:00,TFMV,Theft From Motr Vehc,07,3/26/2018 8:29:17 AM,12472,44.93417676,-93.22230891,-10377459.9586,5611164.9092,HOWE,3/26/2018 9:56:04 AM,3/26/2018 8:00:32 PM,1403,-10377459.9586,5611164.9092
0041XX Sheridan AV N,3749232,MP 2018 998490,04,3/26/2018 9:36:33 AM,3/26/2018 3:00:00 AM,03:00:00,TFMV,Theft From Motr Vehc,07,3/26/2018 9:36:33 AM,22373,45.03042247,-93.31229699,-10387477.3855,5626312.1539,VICTORY,3/26/2018 9:36:40 AM,3/26/2018 8:00:32 PM,1405,-10387477.3855,5626312.1539
0060XX Pillsbury AV S,3749236,MP 2018 095640,05,3/26/2018 10:00:00 AM,3/23/2018 2:00:00 PM,14:00:00,AUTOTH,Motor Vehicle Theft,08,3/26/2018 9:55:54 AM,13465,44.89302791,-93.28194129,-10384098.2051,5604696.6114,WINDOM,3/26/2018 3:40:17 PM,3/26/2018 8:00:32 PM,1407,-10384098.2051,5604696.6114
0054XX Emerson AV S,3749238,MP 2018 998489,05,3/26/2018 10:10:02 AM,3/23/2018 6:00:00 PM,18:00:00,TFMV,Theft From Motr Vehc,07,3/26/2018 10:10:02 AM,14016,44.90419507,-93.29465727,-10385513.7413,5606451.5499,KENNY,3/26/2018 10:10:09 AM,3/26/2018 8:00:32 PM,1408,-10385513.7413,5606451.5499
0028XX Bryant AV S,3749241,MP 2018 998487,05,3/26/2018 10:37:59 AM,3/25/2018 3:00:00 PM,15:00:00,TFMV,Theft From Motr Vehc,07,3/26/2018 10:37:59 AM,25735,44.9511821,-93.29062928,-10385065.3474,5613839.3779,LOWRY HILL EAST,3/26/2018 10:38:04 AM,3/26/2018 8:00:32 PM,1409,-10385065.3474,5613839.3779
0055XX Girard AV S,3749270,MP 2018 998477,05,3/26/2018 12:30:47 PM,3/11/2018 5:00:00 PM,17:00:00,TFMV,Theft From Motr Vehc,07,3/26/2018 12:30:47 PM,14018,44.90239221,-93.29720798,-10385797.6849,5606168.2039,KENNY,3/26/2018 12:30:51 PM,3/26/2018 8:00:32 PM,1413,-10385797.6849,5606168.2039
0050XX 29 AV S,3749279,MP 2018 998474,03,3/26/2018 1:09:15 PM,3/24/2018 10:30:00 PM,22:30:00,TFMV,Theft From Motr Vehc,07,3/26/2018 1:09:15 PM,12931,44.91168336,-93.23096697,-10378423.7691,5607628.5384,KEEWAYDIN,3/26/2018 1:09:18 PM,3/26/2018 8:00:32 PM,1415,-10378423.7691,5607628.5384
0052XX Knox AV N,3749314,MP 2018 998469,04,3/26/2018 4:16:07 PM,3/24/2018 10:00:00 PM,22:00:00,TFMV,Theft From Motr Vehc,07,3/26/2018 4:16:07 PM,15767,45.05027215,-93.30300851,-10386443.3963,5629439.2825,SHINGLE CREEK,3/26/2018 4:16:11 PM,3/26/2018 8:00:32 PM,1418,-10386443.3963,5629439.2825
0028XX Bryant AV S,3749315,MP 2018 998468,05,3/26/2018 4:17:13 PM,3/25/2018 8:00:00 PM,20:00:00,TFMV,Theft From Motr Vehc,07,3/26/2018 4:17:13 PM,25735,44.9511821,-93.29062928,-10385065.3474,5613839.3779,LOWRY HILL EAST,3/26/2018 4:17:16 PM,3/26/2018 8:00:32 PM,1419,-10385065.3474,5613839.3779
0029XX Chicago AV S,3739980,MP 2018 045132,03,2/12/2018 10:00:00 AM,2/11/2018 11:00:00 PM,23:00:00,TFMV,Theft From Motr Vehc,07,2/12/2018 9:48:02 AM,25867,44.9488397,-93.26267192,-10381953.1487,5613470.936,PHILLIPS WEST,2/13/2018 4:53:10 AM,2/13/2018 8:00:31 PM,1427,-10381953.1487,5613470.936
0024XX Jackson ST NE,3740072,MP 2018 045636,02,2/12/2018 5:18:00 PM,2/9/2018 7:00:00 PM,19:00:00,AUTOTH,Motor Vehicle Theft,08,2/12/2018 5:18:06 PM,11149,45.01266624,-93.24912093,-10380444.6592,5623515.7476,HOLLAND,2/13/2018 6:12:37 AM,2/13/2018 8:00:31 PM,1434,-10380444.6592,5623515.7476
0009XX 17 AV SE,3740090,MP 2018 045648,02,2/12/2018 6:40:00 PM,2/12/2018 5:00:00 PM,17:00:00,AUTOTH,Motor Vehicle Theft,08,2/12/2018 6:40:47 PM,14784,44.98468963,-93.22860219,-10378160.5231,5619111.5043,COMO,2/13/2018 6:13:27 AM,2/13/2018 8:00:31 PM,1435,-10378160.5231,5619111.5043
0047XX Chicago AV S,3740104,MP 2018 045887,03,2/12/2018 8:58:00 PM,2/12/2018 5:00:00 PM,17:00:00,TFMV,Theft From Motr Vehc,07,2/12/2018 8:57:38 PM,12729,44.91700664,-93.26262036,-10381947.4083,5608465.3301,NORTHROP,2/13/2018 2:20:41 PM,2/13/2018 8:00:31 PM,1437,-10381947.4083,5608465.3301
0001XX James AV N,3740106,MP 2018 045885,04,2/12/2018 9:50:00 PM,2/12/2018 6:00:00 PM,18:00:00,AUTOTH,Motor Vehicle Theft,08,2/12/2018 9:43:48 PM,17097,44.97756505,-93.30071307,-10386187.8698,5617990.253,HARRISON,2/13/2018 6:18:47 AM,2/13/2018 8:00:31 PM,1438,-10386187.8698,5617990.253
0058XX 46 AV S,3740154,MP 2018 046298,03,2/13/2018 8:30:00 AM,2/13/2018 7:29:00 AM,07:29:00,AUTOTH,Motor Vehicle Theft,08,2/13/2018 8:00:02 AM,20978,44.89723603,-93.20767552,-10375830.9764,5605357.8847,MORRIS PARK,2/13/2018 2:54:54 PM,2/13/2018 8:00:31 PM,1445,-10375830.9764,5605357.8847
0028XX Bryant AV S,3740155,MP 2018 999178,05,2/13/2018 8:03:47 AM,2/12/2018 9:00:00 PM,21:00:00,TFMV,Theft From Motr Vehc,07,2/13/2018 8:03:47 AM,25735,44.9511821,-93.29062928,-10385065.3474,5613839.3779,LOWRY HILL EAST,2/13/2018 8:03:53 AM,2/13/2018 8:00:31 PM,1446,-10385065.3474,5613839.3779
0029XX 43 AV S,3740163,MP 2018 999177,03,2/13/2018 9:12:32 AM,2/9/2018 11:00:00 PM,23:00:00,TFMV,Theft From Motr Vehc,07,2/13/2018 9:12:32 AM,13704,44.94925001,-93.21144975,-10376251.1224,5613535.4745,COOPER,2/13/2018 9:12:35 AM,2/13/2018 8:00:31 PM,1447,-10376251.1224,5613535.4745
0037XX 20 AV S,3740231,MP 2018 046461,03,2/13/2018 11:41:00 AM,2/13/2018 9:35:00 AM,09:35:00,AUTOTH,Motor Vehicle Theft,08,2/13/2018 11:40:50 AM,11779,44.93501911,-93.24354051,-10379823.4492,5611297.37,STANDISH,2/13/2018 2:51:10 PM,2/13/2018 8:00:31 PM,1448,-10379823.4492,5611297.37
0025XX James AV N,3732448,MP 2018 006200,04,1/6/2018 8:00:00 PM,1/6/2018 7:30:00 PM,19:30:00,AUTOTH,Motor Vehicle Theft,08,1/6/2018 8:07:26 PM,16129,45.00539951,-93.30074752,-10386191.7046,5622371.5681,JORDAN,1/14/2018 1:03:25 AM,1/14/2018 8:00:33 PM,1459,-10386191.7046,5622371.5681
0021XX Como AV SE,3733497,MP 2018 011523,02,1/11/2018 10:13:00 PM,1/11/2018 8:30:00 PM,20:30:00,AUTOTH,Motor Vehicle Theft,08,1/11/2018 10:12:54 PM,11506,44.9878819,-93.22219734,-10377447.5382,5619613.9411,COMO,1/15/2018 2:37:43 AM,1/15/2018 8:00:29 PM,1460,-10377447.5382,5619613.9411
0055XX Penn AV S,3733798,MP 2018 013108,05,1/13/2018 2:17:00 PM,1/12/2018 3:00:00 PM,15:00:00,TFMV,Theft From Motr Vehc,07,1/13/2018 2:16:06 PM,19134,44.90242897,-93.30864846,-10387071.2328,5606173.9819,ARMATAGE,1/14/2018 1:13:31 AM,1/14/2018 8:00:33 PM,1462,-10387071.2328,5606173.9819
0019XX Garfield ST NE,3733800,MP 2018 013177,02,1/13/2018 2:00:00 PM,1/13/2018 11:00:00 AM,11:00:00,AUTOTH,Motor Vehicle Theft,08,1/13/2018 2:23:50 PM,20341,45.00868199,-93.23331535,-10378685.1892,5622888.3912,WINDOM PARK,1/13/2018 8:42:31 PM,1/14/2018 8:00:33 PM,1463,-10378685.1892,5622888.3912
0027XX Grand AV S,3733801,MP 2018 013045,05,1/13/2018 9:48:00 AM,1/13/2018 9:48:00 AM,09:48:00,TFMV,Theft From Motr Vehc,07,1/13/2018 2:24:33 PM,18386,44.95284655,-93.28425027,-10384355.2391,5614101.1927,WHITTIER,1/14/2018 1:15:35 AM,1/14/2018 8:00:33 PM,1464,-10384355.2391,5614101.1927
0051XX Irving AV N,3733809,MP 2018 013103,04,1/13/2018 2:53:00 PM,1/13/2018 11:00:00 AM,11:00:00,AUTOTH,Motor Vehicle Theft,08,1/13/2018 2:53:05 PM,10304,45.04843611,-93.30046713,-10386160.492,5629149.9864,SHINGLE CREEK,1/14/2018 1:09:41 AM,1/14/2018 8:00:33 PM,1465,-10386160.492,5629149.9864
0033XX Tyler ST NE,3733827,MP 2018 013292,02,1/13/2018 5:53:00 PM,1/13/2018 4:55:00 PM,16:55:00,AUTOTH,Motor Vehicle Theft,08,1/13/2018 5:52:37 PM,10842,45.02851945,-93.2460553,-10380103.3942,5626012.4082,WAITE PARK,1/13/2018 8:32:39 PM,1/14/2018 8:00:33 PM,1466,-10380103.3942,5626012.4082
0050XX Washburn AV N,3733832,MP 2018 013314,04,1/13/2018 6:59:00 PM,1/13/2018 12:00:00 AM,00:00:00,TFMV,Theft From Motr Vehc,07,1/13/2018 6:58:51 PM,10072,45.0466919,-93.31817589,-10388131.8223,5628875.1673,SHINGLE CREEK,1/14/2018 1:03:44 AM,1/14/2018 8:00:33 PM,1467,-10388131.8223,5628875.1673
0026XX Polk ST NE,3733839,MP 2018 013436,02,1/13/2018 7:41:00 PM,1/13/2018 7:09:00 PM,19:09:00,AUTOTH,Motor Vehicle Theft,08,1/13/2018 7:41:07 PM,11141,45.0158748,-93.24556109,-10380048.3795,5624020.9954,AUDUBON PARK,1/13/2018 8:36:03 PM,1/14/2018 8:00:33 PM,1470,-10380048.3795,5624020.9954
0011XX 26 AV NE,3733863,MP 2018 013503,02,1/13/2018 11:15:00 PM,1/13/2018 4:30:00 PM,16:30:00,AUTOTH,Motor Vehicle Theft,08,1/13/2018 11:14:30 PM,11135,45.0149842,-93.24300792,-10379764.1612,5623880.7502,AUDUBON PARK,1/14/2018 2:25:23 AM,1/14/2018 8:00:33 PM,1474,-10379764.1612,5623880.7502
0030XX Hennepin AV S,3733894,MP 2018 013561,05,1/14/2018 4:20:00 AM,1/13/2018 7:45:00 PM,19:45:00,AUTOTH,Motor Vehicle Theft,08,1/14/2018 3:54:37 AM,11281,44.9474742,-93.29829195,-10385918.3514,5613256.1615,ECCO,1/14/2018 4:52:31 AM,1/14/2018 8:00:33 PM,1478,-10385918.3514,5613256.1615
0034XX Penn AV N,3733900,MP 2018 013838,04,1/14/2018 4:37:00 AM,1/14/2018 3:00:00 AM,03:00:00,AUTOTH,Motor Vehicle Theft,08,1/14/2018 4:34:38 AM,10235,45.0177557,-93.30825905,-10387027.8846,5624317.1903,CLEVELAND,1/14/2018 4:36:47 PM,1/14/2018 8:00:33 PM,1479,-10387027.8846,5624317.1903
0025XX Lyndale AV S,3733928,MP 2018 999787,05,1/14/2018 10:22:43 AM,1/6/2018 7:00:00 PM,19:00:00,TFMV,Theft From Motr Vehc,07,1/14/2018 10:22:43 AM,16748,44.95643679,-93.28803756,-10384776.838,5614665.956,LOWRY HILL EAST,1/14/2018 10:22:46 AM,1/14/2018 8:00:33 PM,1484,-10384776.838,5614665.956
0052XX Newton AV N,3733929,MP 2018 013977,04,1/14/2018 10:35:00 AM,1/14/2018 9:25:00 AM,09:25:00,AUTOTH,Motor Vehicle Theft,08,1/14/2018 10:38:21 AM,10115,45.05029733,-93.30682701,-10386868.4704,5629443.2493,SHINGLE CREEK,1/14/2018 12:08:19 PM,1/14/2018 8:00:33 PM,1485,-10386868.4704,5629443.2493
WASHBURN AV  / 49 AV N,3733941,MP 2018 999782,99,1/14/2018 12:52:26 PM,1/12/2018 5:00:00 PM,17:00:00,TFMV,Theft From Motr Vehc,07,1/14/2018 12:52:26 PM,,45.04395,-93.31812,-10388125.6,5628443.562,SHINGLE CREEK,1/14/2018 12:52:30 PM,1/14/2018 8:00:33 PM,1488,-10388125.6,5628443.562
