X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-10385519.8279,5629290.6287,0011XX 52ND AVE N,MP2018700715        ,4     ,2018/07/05 00:00:00+00,2113,2018/07/05 00:00:00+00,2018/07/05 21:13:00+00,1530,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/06 00:00:00+00,10291,-93.29471,45.04932,-10385519.8279,5629290.6287,Lind - Bohanon,2019/10/30 00:00:00+00,2022/03/17 09:10:30+00,9733
-10379707.5349,5616163.7826,0007XX 21ST AVE S,MP2018700720        ,1     ,2018/07/06 00:00:00+00,959,2018/07/06 00:00:00+00,2018/07/06 09:59:00+00,200,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/06 00:00:00+00,21865,-93.24249,44.96595,-10379707.5349,5616163.7826,Cedar Riverside,2018/07/06 00:00:00+00,2022/03/17 09:10:30+00,9737
-10379619.1334,5615857.5673,0021XX 9TH ST S,MP2018700721        ,3     ,2018/07/06 00:00:00+00,1003,2018/07/05 00:00:00+00,2018/07/06 10:03:00+00,1615,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/06 00:00:00+00,14956,-93.2417,44.96401,-10379619.1334,5615857.5673,Seward,2019/01/18 00:00:00+00,2022/03/17 09:10:30+00,9738
-10384646.6985,5612678.1562,0032XX GARFIELD AVE,MP2018700729        ,5     ,2018/07/06 00:00:00+00,1146,2018/07/05 00:00:00+00,2018/07/06 11:46:00+00,2000,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/06 00:00:00+00,22068,-93.28686,44.94379,-10384646.6985,5612678.1562,South Uptown,2018/07/06 00:00:00+00,2022/04/16 07:00:15+00,9743
-10377246.3072,5612730.1896,0032XX 36TH AVE S,MP2018700731        ,3     ,2018/07/06 00:00:00+00,1610,2018/07/06 00:00:00+00,2018/07/06 16:10:00+00,330,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/07 00:00:00+00,,-93.22038,44.94413,-10377246.3072,5612730.1896,Longfellow,2018/07/07 00:00:00+00,2022/03/17 09:10:30+00,9745
-10376467.2193,5611743.8454,0041XX 36TH ST E,MP2018700747        ,3     ,2018/07/07 00:00:00+00,1333,2018/07/06 00:00:00+00,2018/07/07 13:33:00+00,2315,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/08/22 00:00:00+00,,-93.21339,44.93785,-10376467.2193,5611743.8454,Howe,2018/08/22 00:00:00+00,2022/03/17 09:10:30+00,9755
-10384438.5506,5611434.7968,0004XX 37TH ST W,MP2018700748        ,5     ,2018/07/07 00:00:00+00,1216,2018/07/06 00:00:00+00,2018/07/07 12:16:00+00,2305,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/08/21 00:00:00+00,10968,-93.28499,44.93589,-10384438.5506,5611434.7968,King Field,2018/08/21 00:00:00+00,2022/03/17 09:10:30+00,9756
-10383162.7502,5619720.0064,0007XX 1ST ST N,MP2018700750        ,1     ,2018/07/07 00:00:00+00,1819,2018/07/07 00:00:00+00,2018/07/07 18:19:00+00,0,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/07 00:00:00+00,,-93.27353,44.98855,-10383162.7502,5619720.0064,North Loop,2018/07/07 00:00:00+00,2022/03/17 09:10:30+00,9758
-10380304.7678,5618590.1086,0007XX MAIN ST SE,MP2018700755        ,2     ,2018/07/08 00:00:00+00,1555,2018/07/04 00:00:00+00,2018/07/08 15:55:00+00,500,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/08 00:00:00+00,17632,-93.24786,44.98137,-10380304.7678,5618590.1086,Marcy Holmes,2018/07/08 00:00:00+00,2022/03/17 09:10:30+00,9762
-10377759.2015,5612863.7303,0032XX 32ND ST E,MP2018700758        ,3     ,2018/07/08 00:00:00+00,944,2018/07/02 00:00:00+00,2018/07/08 09:44:00+00,1900,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/08 00:00:00+00,11832,-93.22499,44.94497,-10377759.2015,5612863.7303,Longfellow,2018/07/08 00:00:00+00,2022/03/17 09:10:30+00,9764
-10381661.9394,5620269.6345,0002XX 4TH AVE NE,MP2018700760        ,2     ,2018/07/08 00:00:00+00,1519,2018/07/06 00:00:00+00,2018/07/08 15:19:00+00,1900,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/08 00:00:00+00,18005,-93.26005,44.99204,-10381661.9394,5620269.6345,St. Anthony West,2018/07/08 00:00:00+00,2022/03/17 09:10:30+00,9765
-10383075.5399,5614953.1829,0024XX 3RD AVE S,MP2018700767        ,5     ,2018/07/08 00:00:00+00,1104,2018/07/06 00:00:00+00,2018/07/08 11:04:00+00,2100,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/08 00:00:00+00,21239,-93.27275,44.95826,-10383075.5399,5614953.1829,Whittier,2018/07/08 00:00:00+00,2022/03/17 09:10:30+00,9767
-10383094.1205,5617413.6465,0009XX MARQUETTE AVE,MP2018700768        ,1     ,2018/07/08 00:00:00+00,1038,2018/07/06 00:00:00+00,2018/07/08 10:38:00+00,1300,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018/07/08 00:00:00+00,17096,-93.27292,44.9739,-10383094.1205,5617413.6465,Downtown West,2018/07/08 00:00:00+00,2022/03/17 09:10:30+00,9768
