X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-10377263.9982,5616720.4343,0001XX 27TH AVE SE,MP2020290262        ,2     ,2020/11/16 00:00:00+00,1022,2020/11/15 00:00:00+00,2020/11/16 10:22:00+00,2100,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/16 00:00:00+00,22881,-93.22054,44.96949,-10377263.9982,5616720.4343,Prospect Park - East River Road,2020/11/16 00:00:00+00,2022/03/17 09:10:31+00,12855
-10383094.1205,5617413.6465,0009XX MARQUETTE AVE,MP2020290309        ,1     ,2020/11/16 00:00:00+00,1200,2020/11/15 00:00:00+00,2020/11/16 12:00:00+00,2230,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/17 00:00:00+00,,-93.27292,44.9739,-10383094.1205,5617413.6465,Downtown West,2020/11/17 00:00:00+00,2022/03/26 07:00:58+00,12859
-10382664.013,5625584.5867,0032XX CALIFORNIA ST NE,MP2020290322        ,2     ,2020/11/16 00:00:00+00,1112,2020/11/15 00:00:00+00,2020/11/16 11:12:00+00,1700,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/16 00:00:00+00,13943,-93.26905,45.0258,-10382664.013,5625584.5867,Marshall Terrace,2020/11/16 00:00:00+00,2022/03/17 09:10:31+00,12861
-10387025.3133,5623466.2709,0031XX PENN AVE N,MP2020290323        ,4     ,2020/11/16 00:00:00+00,1057,2020/11/16 00:00:00+00,2020/11/16 10:57:00+00,1057,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/17 00:00:00+00,10716,-93.30823,45.01235,-10387025.3133,5623466.2709,Jordan,2020/11/17 00:00:00+00,2022/03/17 09:10:31+00,12862
-10385279.5952,5613395.7281,0010XX LAKE ST W,MP2020290366        ,5     ,2020/11/16 00:00:00+00,1502,2020/11/16 00:00:00+00,2020/11/16 15:02:00+00,1200,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/17 00:00:00+00,17304,-93.29255,44.94836,-10385279.5952,5613395.7281,Lowry Hill East,2020/11/17 00:00:00+00,2022/03/17 09:10:31+00,12866
-10382671.0237,5618296.1809,0009XX 4TH ST S,MP2020290374        ,1     ,2020/11/16 00:00:00+00,1303,2020/11/16 00:00:00+00,2020/11/16 13:03:00+00,1130,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/17 00:00:00+00,,-93.26912,44.9795,-10382671.0237,5618296.1809,Downtown West,2020/11/17 00:00:00+00,2022/03/26 07:00:58+00,12867
-10377914.6339,5617369.6881,0008XX WASHINGTON AVE SE,MP2020290421        ,2     ,2020/11/16 00:00:00+00,1452,2020/11/15 00:00:00+00,2020/11/16 14:52:00+00,1900,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/17 00:00:00+00,15171,-93.22639,44.97362,-10377914.6339,5617369.6881,Prospect Park - East River Road,2020/11/20 00:00:00+00,2022/03/17 09:10:31+00,12871
-10384125.3172,5613394.6311,0002XX LAKE ST W,MP2020290494        ,5     ,2020/11/16 00:00:00+00,1632,2020/09/26 00:00:00+00,2020/11/16 16:32:00+00,800,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/17 00:00:00+00,19784,-93.28218,44.94835,-10384125.3172,5613394.6311,Whittier,2020/11/17 00:00:00+00,2022/03/17 09:10:31+00,12876
-10380534.1721,5614101.9362,0027XX 17TH AVE S,MP2020290535        ,3     ,2020/11/16 00:00:00+00,1658,2020/10/16 00:00:00+00,2020/11/16 16:58:00+00,1230,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/11/17 00:00:00+00,15520,-93.24992,44.95285,-10380534.1721,5614101.9362,East Phillips,2020/11/17 00:00:00+00,2022/03/17 09:10:31+00,12879
-10384777.4297,5624860.9954,0036XX LYNDALE AVE N,MP202029062         ,4     ,2020/02/02 00:00:00+00,55,2020/02/01 00:00:00+00,2020/02/02 00:55:00+00,2252,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2020/02/03 00:00:00+00,22367,-93.28804,45.0212,-10384777.4297,5624860.9954,McKinley,2020/02/03 00:00:00+00,2022/03/17 09:10:31+00,12881
-10388513.4263,5613136.3815,0031XX EXCELSIOR BLVD,MP2020290698        ,5     ,2020/11/16 00:00:00+00,2020,2020/11/16 00:00:00+00,2020/11/16 20:20:00+00,2020,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2020/11/17 00:00:00+00,16295,-93.3216,44.94671,-10388513.4263,5613136.3815,West Maka Ska,2020/11/17 00:00:00+00,2022/03/17 09:10:31+00,12884
