publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID,x,y
0020XX HARRIET AVE,MP2022706860,5,6/28/2022 12:00:00 AM,1522,6/25/2022 12:00:00 AM,6/28/2022 3:22:00 PM,2300,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.28546,44.9618,-10384489.9158723,5615510.03214313,Whittier,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,5,-10384489.9159,5615510.0321
0015XX 5TH ST S,MP2022706863,1,6/28/2022 12:00:00 AM,1536,6/27/2022 12:00:00 AM,6/28/2022 3:36:00 PM,1651,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.24997,44.97003,-10380538.7078879,5616803.99440665,Cedar Riverside,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,7,-10380538.7079,5616803.9944
0002XX 9TH AVE NE,MP2022706870,2,6/28/2022 12:00:00 AM,1743,6/19/2022 12:00:00 AM,6/28/2022 5:43:00 PM,2100,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.26373,44.9974,-10382070.6415474,5621111.61362975,St. Anthony West,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,11,-10382070.6415,5621111.6136
0050XX EAST LAKE NOKOMIS PKWY,MP2022706881,3,6/28/2022 12:00:00 AM,2030,6/28/2022 12:00:00 AM,6/28/2022 8:30:00 PM,1305,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.2359,44.91005,-10378972.5989541,5607371.18332619,Keewaydin,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,20,-10378972.599,5607371.1833
0016XX 2ND ST N,MP2022706882,4,6/28/2022 12:00:00 AM,2037,6/28/2022 12:00:00 AM,6/28/2022 8:37:00 PM,2025,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.27992,44.99582,-10383873.6679529,5620864.18469944,Near - North,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,21,-10383873.668,5620864.1847
0041XX EAST LAKE HARRIET PKWY,MP2022706884,5,6/28/2022 12:00:00 AM,2056,6/28/2022 12:00:00 AM,6/28/2022 8:56:00 PM,1830,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.30226,44.92838,-10386359.9385855,5610252.70503705,East Harriet,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,23,-10386359.9386,5610252.705
0017XX FILLMORE ST NE,MP2022706888,2,6/28/2022 12:00:00 AM,2336,6/28/2022 12:00:00 AM,6/28/2022 11:36:00 PM,2030,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.24227,45.00382,-10379682.280399,5622123.55453788,Northeast Park,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,26,-10379682.2804,5622123.5545
0010XX 37TH ST E,MP2022706895,3,6/29/2022 12:00:00 AM,848,6/26/2022 12:00:00 AM,6/29/2022 8:48:00 AM,2200,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.25936,44.93595,-10381584.1003758,5611443.31378496,Powderhorn Park,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,29,-10381584.1004,5611443.3138
0026XX 28TH ST W,MP2022706898,5,6/29/2022 12:00:00 AM,859,6/29/2022 12:00:00 AM,6/29/2022 8:59:00 AM,230,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.31361,44.95197,-10387623.6786136,5613962.94786734,Cedar - Isles - Dean,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,30,-10387623.6786,5613962.9479
0028XX 14TH AVE S,MP2022706899,3,6/29/2022 12:00:00 AM,909,6/24/2022 12:00:00 AM,6/29/2022 9:09:00 AM,1900,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.25502,44.95101,-10381101.5154197,5613811.75115983,Midtown Phillips,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,31,-10381101.5154,5613811.7512
0011XX 14TH AVE SE,MP2022706909,2,6/29/2022 12:00:00 AM,1115,6/28/2022 12:00:00 AM,6/29/2022 11:15:00 AM,2300,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.23204,44.99397,-10378542.825076,5620571.61298122,Como,6/29/2022 12:00:00 AM,12/1/2022 7:08:47 AM,36,-10378542.8251,5620571.613
0028XX DUPONT AVE S,MP2022706911,5,6/24/2022 12:00:00 AM,1453,6/23/2022 12:00:00 AM,6/24/2022 2:53:00 PM,1800,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.29317,44.951,-10385348.6131925,5613810.11459808,Lowry Hill East,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,38,-10385348.6132,5613810.1146
0037XX 25TH AVE S,MP2022706913,3,6/27/2022 12:00:00 AM,1037,6/19/2022 12:00:00 AM,6/27/2022 10:37:00 AM,314,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.23592,44.93502,-10378975.4174548,5611296.93169521,Standish,8/4/2022 12:00:00 AM,12/1/2022 7:08:47 AM,39,-10378975.4175,5611296.9317
0029XX PLEASANT AVE,MP2022706914,5,6/29/2022 12:00:00 AM,1148,6/28/2022 12:00:00 AM,6/29/2022 11:48:00 AM,2230,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.283,44.94955,-10384216.5227954,5613582.36453595,Whittier,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,40,-10384216.5228,5613582.3645
0027XX 39TH ST W,MP2022706915,5,6/29/2022 12:00:00 AM,1155,6/29/2022 12:00:00 AM,6/29/2022 11:55:00 AM,930,TFMV,THEFT FROM MOTR VEHC,07 ,6/29/2022 12:00:00 AM,,-93.31474,44.9323,-10387749.17118,5610870.54999973,Linden Hills,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,41,-10387749.1712,5610870.55
0007XX 2ND ST N,MP2022706927,1,6/29/2022 12:00:00 AM,1358,6/29/2022 12:00:00 AM,6/29/2022 1:58:00 PM,200,TFMV,THEFT FROM MOTR VEHC,07 ,6/30/2022 12:00:00 AM,,-93.27524,44.98816,-10383352.6872901,5619657.75546431,North Loop,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,46,-10383352.6873,5619657.7555
0007XX 2ND ST N,MP2022706935,1,6/29/2022 12:00:00 AM,1514,6/29/2022 12:00:00 AM,6/29/2022 3:14:00 PM,245,TFMV,THEFT FROM MOTR VEHC,07 ,6/30/2022 12:00:00 AM,,-93.27524,44.98816,-10383352.6872901,5619657.75546431,North Loop,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,50,-10383352.6873,5619657.7555
0004XX CLIFTON AVE,MP2022706940,1,6/29/2022 12:00:00 AM,1651,6/24/2022 12:00:00 AM,6/29/2022 4:51:00 PM,2100,TFMV,THEFT FROM MOTR VEHC,07 ,6/30/2022 12:00:00 AM,,-93.28409,44.96615,-10384336.8910752,5616194.38985028,Loring Park,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,53,-10384336.8911,5616194.3899
0010XX JAMES AVE N,MP2022706942,4,6/29/2022 12:00:00 AM,1126,6/28/2022 12:00:00 AM,6/29/2022 11:26:00 AM,2310,TFMV,THEFT FROM MOTR VEHC,07 ,6/30/2022 12:00:00 AM,,-93.30071,44.98817,-10386188.0506137,5619659.16116869,Near - North,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,54,-10386188.0506,5619659.1612
0044XX 33RD AVE S,MP2022706946,3,6/29/2022 12:00:00 AM,1744,6/27/2022 12:00:00 AM,6/29/2022 5:44:00 PM,1000,TFMV,THEFT FROM MOTR VEHC,07 ,6/30/2022 12:00:00 AM,,-93.2243,44.92238,-10377681.9376221,5609309.81524813,Ericsson,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,58,-10377681.9376,5609309.8152
0011XX 60TH ST E,MP2022706963,3,6/30/2022 12:00:00 AM,810,6/30/2022 12:00:00 AM,6/30/2022 8:10:00 AM,314,TFMV,THEFT FROM MOTR VEHC,07 ,6/30/2022 12:00:00 AM,,-93.25852,44.89432,-10381491.4141272,5604899.05721046,Diamond Lake,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,68,-10381491.4141,5604899.0572
0025XX 14TH AVE S,MP2022706964,3,6/30/2022 12:00:00 AM,823,6/24/2022 12:00:00 AM,6/30/2022 8:23:00 AM,1501,TFMV,THEFT FROM MOTR VEHC,07 ,6/30/2022 12:00:00 AM,,-93.25497,44.95644,-10381095.8681795,5614666.65786319,Midtown Phillips,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,69,-10381095.8682,5614666.6579
0005XX 43RD ST E,MP2022706967,3,6/30/2022 12:00:00 AM,928,6/29/2022 12:00:00 AM,6/30/2022 9:28:00 AM,1800,TFMV,THEFT FROM MOTR VEHC,07 ,6/30/2022 12:00:00 AM,,-93.26823,44.92513,-10382571.3256772,5609743.00658417,Regina,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,70,-10382571.3257,5609743.0066
0002XX 8TH AVE N,MP2022706970,1,6/29/2022 12:00:00 AM,1107,6/29/2022 12:00:00 AM,6/29/2022 11:07:00 AM,1050,TFMV,THEFT FROM MOTR VEHC,07 ,6/30/2022 12:00:00 AM,,-93.27919,44.98847,-10383791.6123036,5619706.26444666,North Loop,6/30/2022 12:00:00 AM,12/1/2022 7:08:47 AM,74,-10383791.6123,5619706.2644
0003XX 39TH ST E,MP2022706977,3,6/30/2022 12:00:00 AM,1150,6/30/2022 12:00:00 AM,6/30/2022 11:50:00 AM,0,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.27078,44.93234,-10382856.205279,5610876.47014038,Bryant,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,78,-10382856.2053,5610876.4701
0001XX 14TH ST W,MP2022706980,1,6/30/2022 12:00:00 AM,1218,6/30/2022 12:00:00 AM,6/30/2022 12:18:00 PM,200,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.28008,44.96879,-10383891.4905403,5616609.51955871,Loring Park,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,80,-10383891.4905,5616609.5196
0004XX MORGAN AVE S,MP2022706981,5,6/30/2022 12:00:00 AM,1218,6/30/2022 12:00:00 AM,6/30/2022 12:18:00 PM,900,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.30426,44.97243,-10386583.1176859,5617182.60702542,Lowry Hill,7/2/2022 12:00:00 AM,12/1/2022 7:08:47 AM,81,-10386583.1177,5617182.607
0002XX 8TH AVE N,MP2022706982,1,6/30/2022 12:00:00 AM,1246,6/30/2022 12:00:00 AM,6/30/2022 12:46:00 PM,445,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.27919,44.98847,-10383791.6123036,5619706.26444666,North Loop,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,82,-10383791.6123,5619706.2644
0002XX 8TH AVE N,MP2022706984,1,6/30/2022 12:00:00 AM,1252,6/30/2022 12:00:00 AM,6/30/2022 12:52:00 PM,300,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.27919,44.98847,-10383791.6123036,5619706.26444666,North Loop,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,84,-10383791.6123,5619706.2644
0008XX MOUNT CURVE AVE,MP2022706986,5,6/30/2022 12:00:00 AM,1313,6/25/2022 12:00:00 AM,6/30/2022 1:13:00 PM,1800,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.29009,44.96656,-10385004.7760074,5616258.26144316,Lowry Hill,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,85,-10385004.776,5616258.2614
0002XX 8TH AVE N,MP2022706988,1,6/30/2022 12:00:00 AM,1337,6/30/2022 12:00:00 AM,6/30/2022 1:37:00 PM,1025,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.27919,44.98847,-10383791.6123036,5619706.26444666,North Loop,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,87,-10383791.6123,5619706.2644
0021XX 9TH ST S,MP2022706996,3,6/27/2022 12:00:00 AM,1813,6/15/2022 12:00:00 AM,6/27/2022 6:13:00 PM,524,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.24171,44.96401,-10379619.1334507,5615857.56746286,Seward,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,91,-10379619.1335,5615857.5675
0008XX PARK LN,MP2022706998,5,6/30/2022 12:00:00 AM,1454,6/30/2022 12:00:00 AM,6/30/2022 2:54:00 PM,1340,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.31929,44.95639,-10388255.6820711,5614658.75935017,Cedar - Isles - Dean,7/2/2022 12:00:00 AM,12/1/2022 7:08:47 AM,93,-10388255.6821,5614658.7594
0051XX JAMES AVE S,MP2022707010,5,6/30/2022 12:00:00 AM,1741,6/30/2022 12:00:00 AM,6/30/2022 5:41:00 PM,1430,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.30102,44.90945,-10386222.4029807,5607277.35524824,Lynnhurst,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,101,-10386222.403,5607277.3552
0001XX 1ST ST N,MP2022707017,1,6/30/2022 12:00:00 AM,2250,6/30/2022 12:00:00 AM,6/30/2022 10:50:00 PM,1100,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.26845,44.98498,-10382596.0459466,5619157.61236353,North Loop,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,104,-10382596.0459,5619157.6124
0052XX 44TH AVE S,MP2022707020,3,6/30/2022 12:00:00 AM,2304,6/30/2022 12:00:00 AM,6/30/2022 11:04:00 PM,2202,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.21011,44.9081,-10376102.2237096,5607065.78177635,Minnehaha,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,106,-10376102.2237,5607065.7818
0025XX 10TH AVE S,MP2022707023,3,6/30/2022 12:00:00 AM,1937,6/30/2022 12:00:00 AM,6/30/2022 7:37:00 PM,800,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.26005,44.95643,-10381661.4784662,5614664.99916609,Midtown Phillips,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,108,-10381661.4785,5614664.9992
0017XX MONROE ST NE,MP2022707024,2,7/1/2022 12:00:00 AM,817,6/30/2022 12:00:00 AM,7/1/2022 8:17:00 AM,800,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.25247,45.00553,-10380817.0481567,5622392.1189262,Logan Park,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,109,-10380817.0482,5622392.1189
0022XX RUSSELL AVE N,MP2022707028,4,7/1/2022 12:00:00 AM,854,6/27/2022 12:00:00 AM,7/1/2022 8:54:00 AM,2300,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.31077,45.0015,-10387307.3697963,5621757.81707668,Willard - Hay,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,110,-10387307.3698,5621757.8171
0012XX 11TH AVE N,MP2022707042,4,7/1/2022 12:00:00 AM,1127,7/1/2022 12:00:00 AM,7/1/2022 11:27:00 AM,15,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.29468,44.98898,-10385515.922363,5619787.53810772,Near - North,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,116,-10385515.9224,5619787.5381
0028XX DUPONT AVE S,MP2022707044,5,7/1/2022 12:00:00 AM,1153,7/1/2022 12:00:00 AM,7/1/2022 11:53:00 AM,1055,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.29317,44.951,-10385348.6131925,5613810.11459808,Lowry Hill East,7/2/2022 12:00:00 AM,12/1/2022 7:08:47 AM,118,-10385348.6132,5613810.1146
0040XX NOKOMIS AVE S,MP2022707046,3,7/1/2022 12:00:00 AM,1240,6/30/2022 12:00:00 AM,7/1/2022 12:40:00 PM,2300,TFMV,THEFT FROM MOTR VEHC,07 ,7/1/2022 12:00:00 AM,,-93.22831,44.9296,-10378128.0204944,5610445.26940838,Howe,7/1/2022 12:00:00 AM,12/1/2022 7:08:47 AM,119,-10378128.0205,5610445.2694
0011XX 60TH ST E,MP2022707051,3,7/1/2022 12:00:00 AM,1345,6/30/2022 12:00:00 AM,7/1/2022 1:45:00 PM,2200,TFMV,THEFT FROM MOTR VEHC,07 ,7/2/2022 12:00:00 AM,,-93.25852,44.89432,-10381491.4141272,5604899.05721046,Diamond Lake,7/2/2022 12:00:00 AM,12/1/2022 7:08:47 AM,124,-10381491.4141,5604899.0572
0022XX HARRIET AVE,MP2022707059,5,7/1/2022 12:00:00 AM,1548,7/1/2022 12:00:00 AM,7/1/2022 3:48:00 PM,0,TFMV,THEFT FROM MOTR VEHC,07 ,7/2/2022 12:00:00 AM,,-93.28547,44.96001,-10384491.2205912,5615228.44782492,Whittier,7/2/2022 12:00:00 AM,12/1/2022 7:08:47 AM,128,-10384491.2206,5615228.4478
0029XX GRAND ST NE,MP2022707063,2,7/1/2022 12:00:00 AM,1629,6/24/2022 12:00:00 AM,7/1/2022 4:29:00 PM,1615,TFMV,THEFT FROM MOTR VEHC,07 ,7/2/2022 12:00:00 AM,,-93.27039,45.02137,-10382812.2420999,5624885.81648133,Marshall Terrace,7/2/2022 12:00:00 AM,12/1/2022 7:08:47 AM,130,-10382812.2421,5624885.8165
0001XX 31ST ST W,MP2022707066,5,7/1/2022 12:00:00 AM,1731,6/30/2022 12:00:00 AM,7/1/2022 5:31:00 PM,100,TFMV,THEFT FROM MOTR VEHC,07 ,7/2/2022 12:00:00 AM,,-93.28053,44.9466,-10383941.5891992,5613118.71140784,Lyndale,7/2/2022 12:00:00 AM,12/1/2022 7:08:47 AM,133,-10383941.5892,5613118.7114
0027XX PLEASANT AVE,MP2022707071,5,7/2/2022 12:00:00 AM,112,7/1/2022 12:00:00 AM,7/2/2022 1:12:00 AM,1850,TFMV,THEFT FROM MOTR VEHC,07 ,7/2/2022 12:00:00 AM,,-93.28298,44.95284,-10384213.7161272,5614100.85150681,Whittier,7/2/2022 12:00:00 AM,12/1/2022 7:08:47 AM,137,-10384213.7161,5614100.8515
0009XX DELAWARE ST SE,MP2022707072,2,7/2/2022 12:00:00 AM,728,7/1/2022 12:00:00 AM,7/2/2022 7:28:00 AM,1800,TFMV,THEFT FROM MOTR VEHC,07 ,7/2/2022 12:00:00 AM,,-93.22498,44.97249,-10377757.8172341,5617190.90761335,Prospect Park - East River Road,7/2/2022 12:00:00 AM,12/1/2022 7:08:47 AM,138,-10377757.8172,5617190.9076
0004XX NICOLLET MALL,MP2022707073,1,7/2/2022 12:00:00 AM,903,6/30/2022 12:00:00 AM,7/2/2022 9:03:00 AM,830,TFMV,THEFT FROM MOTR VEHC,07 ,7/2/2022 12:00:00 AM,,-93.2702,44.97928,-10382791.1174519,5618260.58787973,Downtown West,7/2/2022 12:00:00 AM,12/1/2022 7:08:47 AM,139,-10382791.1175,5618260.5879
0022XX 25TH AVE S,MP2022707081,3,7/2/2022 12:00:00 AM,1201,6/18/2022 12:00:00 AM,7/2/2022 12:01:00 PM,1150,TFMV,THEFT FROM MOTR VEHC,07 ,7/4/2022 12:00:00 AM,,-93.23619,44.96006,-10379005.7046638,5615236.53916974,Seward,7/4/2022 12:00:00 AM,12/1/2022 7:08:47 AM,145,-10379005.7047,5615236.5392
0004XX 2ND AVE N,MP2022707092,1,7/2/2022 12:00:00 AM,1833,7/2/2022 12:00:00 AM,7/2/2022 6:33:00 PM,1620,TFMV,THEFT FROM MOTR VEHC,07 ,7/4/2022 12:00:00 AM,,-93.27425,44.98164,-10383241.6547606,5618631.23304588,Downtown West,7/4/2022 12:00:00 AM,12/1/2022 7:08:47 AM,154,-10383241.6548,5618631.233
0023XX HENNEPIN AVE E,MP2022707093,2,7/2/2022 12:00:00 AM,1906,7/1/2022 12:00:00 AM,7/2/2022 7:06:00 PM,500,TFMV,THEFT FROM MOTR VEHC,07 ,7/4/2022 12:00:00 AM,,-93.21961,44.99152,-10377159.1166236,5620187.04485618,Como,7/4/2022 12:00:00 AM,12/1/2022 7:08:47 AM,155,-10377159.1166,5620187.0449
0031XX DEAN CT,MP2022707094,5,7/2/2022 12:00:00 AM,1925,7/2/2022 12:00:00 AM,7/2/2022 7:25:00 PM,1330,TFMV,THEFT FROM MOTR VEHC,07 ,7/4/2022 12:00:00 AM,,-93.31912,44.95082,-10388236.5321011,5613783.13897567,Cedar - Isles - Dean,7/4/2022 12:00:00 AM,12/1/2022 7:08:47 AM,156,-10388236.5321,5613783.139
0028XX 10TH AVE S,MP2022707098,3,7/3/2022 12:00:00 AM,751,7/3/2022 12:00:00 AM,7/3/2022 7:51:00 AM,725,TFMV,THEFT FROM MOTR VEHC,07 ,7/4/2022 12:00:00 AM,,-93.2601,44.95152,-10381667.0474589,5613892.15422734,Midtown Phillips,7/4/2022 12:00:00 AM,12/1/2022 7:08:47 AM,159,-10381667.0475,5613892.1542
0027XX 57TH ST W,MP2022707101,5,7/3/2022 12:00:00 AM,1008,7/3/2022 12:00:00 AM,7/3/2022 10:08:00 AM,955,TFMV,THEFT FROM MOTR VEHC,07 ,7/4/2022 12:00:00 AM,,-93.31438,44.89978,-10387708.8152588,5605757.30504362,Armatage,7/4/2022 12:00:00 AM,12/1/2022 7:08:47 AM,162,-10387708.8153,5605757.305
0011XX 28TH AVE NE,MP2022707107,2,7/3/2022 12:00:00 AM,1341,7/3/2022 12:00:00 AM,7/3/2022 1:41:00 PM,151,TFMV,THEFT FROM MOTR VEHC,07 ,7/4/2022 12:00:00 AM,,-93.24301,45.0186,-10379764.1451866,5624449.97695784,Audubon Park,7/4/2022 12:00:00 AM,12/1/2022 7:08:47 AM,165,-10379764.1452,5624449.977
0015XX 35TH ST W,MP2022707114,5,7/3/2022 12:00:00 AM,1705,7/3/2022 12:00:00 AM,7/3/2022 5:05:00 PM,1645,TFMV,THEFT FROM MOTR VEHC,07 ,7/4/2022 12:00:00 AM,,-93.30155,44.93952,-10386281.1157322,5612005.31358636,East Bde Maka Ska,7/4/2022 12:00:00 AM,12/1/2022 7:08:47 AM,170,-10386281.1157,5612005.3136
0055XX 24TH AVE S,MP2022707118,3,7/3/2022 12:00:00 AM,1941,7/3/2022 12:00:00 AM,7/3/2022 7:41:00 PM,555,TFMV,THEFT FROM MOTR VEHC,07 ,7/4/2022 12:00:00 AM,,-93.23743,44.90257,-10379143.0912952,5606196.61573783,Wenonah,7/4/2022 12:00:00 AM,12/1/2022 7:08:47 AM,174,-10379143.0913,5606196.6157
0026XX PARK AVE,MP2022707126,3,7/3/2022 12:00:00 AM,1145,7/2/2022 12:00:00 AM,7/3/2022 11:45:00 AM,2200,TFMV,THEFT FROM MOTR VEHC,07 ,7/4/2022 12:00:00 AM,,-93.26515,44.95464,-10382228.5984388,5614382.69461288,Phillips West,7/4/2022 12:00:00 AM,12/1/2022 7:08:47 AM,180,-10382228.5984,5614382.6946
0005XX 43RD ST E,MP2022707128,3,7/4/2022 12:00:00 AM,937,7/4/2022 12:00:00 AM,7/4/2022 9:37:00 AM,0,TFMV,THEFT FROM MOTR VEHC,07 ,7/4/2022 12:00:00 AM,,-93.26823,44.92513,-10382571.3256772,5609743.00658417,Regina,7/4/2022 12:00:00 AM,12/1/2022 7:08:47 AM,181,-10382571.3257,5609743.0066
0009XX NICOLLET MALL,MP2022707134,1,7/4/2022 12:00:00 AM,1231,7/3/2022 12:00:00 AM,7/4/2022 12:31:00 PM,1045,TFMV,THEFT FROM MOTR VEHC,07 ,7/5/2022 12:00:00 AM,,-93.27432,44.9745,-10383249.4503243,5617507.84706258,Downtown West,7/5/2022 12:00:00 AM,12/1/2022 7:08:47 AM,187,-10383249.4503,5617507.8471
0024XX PLEASANT AVE,MP2022707136,5,7/4/2022 12:00:00 AM,1243,7/4/2022 12:00:00 AM,7/4/2022 12:43:00 PM,30,TFMV,THEFT FROM MOTR VEHC,07 ,7/5/2022 12:00:00 AM,,-93.28294,44.95822,-10384209.0996138,5614946.51705199,Whittier,7/6/2022 12:00:00 AM,12/1/2022 7:08:47 AM,189,-10384209.0996,5614946.5171
0001XX WILLIAMS AVE SE,MP2022707138,2,7/3/2022 12:00:00 AM,1400,7/3/2022 12:00:00 AM,7/3/2022 2:00:00 PM,1020,TFMV,THEFT FROM MOTR VEHC,07 ,7/5/2022 12:00:00 AM,,-93.21856,44.96789,-10377043.1834618,5616467.31972499,Prospect Park - East River Road,7/5/2022 12:00:00 AM,12/1/2022 7:08:47 AM,191,-10377043.1835,5616467.3197
0055XX 24TH AVE S,MP2022707142,3,7/4/2022 12:00:00 AM,1658,7/2/2022 12:00:00 AM,7/4/2022 4:58:00 PM,1100,AUTOTH,AUTOMOBILE THEFT,08 ,7/5/2022 12:00:00 AM,,-93.23743,44.90257,-10379143.0912952,5606196.61573783,Wenonah,7/6/2022 12:00:00 AM,12/1/2022 7:08:47 AM,194,-10379143.0913,5606196.6157
0013XX 7TH ST SE,MP2022707146,2,7/2/2022 12:00:00 AM,2331,7/1/2022 12:00:00 AM,7/2/2022 11:31:00 PM,2200,TFMV,THEFT FROM MOTR VEHC,07 ,7/5/2022 12:00:00 AM,,-93.23413,44.98371,-10378775.3537884,5618956.86220444,Marcy Holmes,7/5/2022 12:00:00 AM,12/1/2022 7:08:47 AM,196,-10378775.3538,5618956.8622
0004XX NICOLLET MALL,MP2022707148,1,7/4/2022 12:00:00 AM,2002,7/1/2022 12:00:00 AM,7/4/2022 8:02:00 PM,1500,TFMV,THEFT FROM MOTR VEHC,07 ,7/5/2022 12:00:00 AM,,-93.2702,44.97928,-10382791.1174519,5618260.58787973,Downtown West,7/5/2022 12:00:00 AM,12/1/2022 7:08:47 AM,198,-10382791.1175,5618260.5879
0004XX 10TH ST N,MP2022707158,1,7/2/2022 12:00:00 AM,2315,7/2/2022 12:00:00 AM,7/2/2022 11:15:00 PM,700,TFMV,THEFT FROM MOTR VEHC,07 ,7/5/2022 12:00:00 AM,,-93.27883,44.97734,-10383751.7703008,5617954.24949095,Downtown West,7/5/2022 12:00:00 AM,12/1/2022 7:08:47 AM,203,-10383751.7703,5617954.2495
0009XX NICOLLET MALL,MP2022707167,1,7/5/2022 12:00:00 AM,850,7/3/2022 12:00:00 AM,7/5/2022 8:50:00 AM,2145,TFMV,THEFT FROM MOTR VEHC,07 ,7/5/2022 12:00:00 AM,,-93.27432,44.9745,-10383249.4503243,5617507.84706258,Downtown West,7/5/2022 12:00:00 AM,12/1/2022 7:08:47 AM,210,-10383249.4503,5617507.8471
